Subject	Sex	Trial	TrialType	Item	Phonology	Novelty	UttCode	Experiment
217	F	13	filler	fast	non-A	real	A	2
217	F	14	critical	alive	A	real	A	2
217	F	15	filler	bites	non-A	real	RC	2
217	F	16	critical	floating	non-A	real	A	2
217	F	17	filler	slow	non-A	real	A	2
217	F	18	critical	slooky	non-A	novel	A	2
217	F	19	filler	golfs	non-A	real	RC	2
217	F	20	critical	ablim	A	novel	RC	2
217	F	21	filler	weak	non-A	real	A	2
217	F	22	critical	sleepy	non-A	real	A	2
217	F	23	filler	cheats	non-A	real	RC	2
217	F	24	critical	afloat	A	real	RC	2
217	F	25	filler	good	non-A	real	A	2
217	F	26	critical	flitzy	non-A	novel	A	2
217	F	27	filler	smokes	non-A	real	RC	2
217	F	28	critical	afraid	A	real	A	2
217	F	29	filler	lies	non-A	real	RC	2
217	F	30	critical	gecky	non-A	novel	A	2
217	F	31	filler	votes	non-A	real	RC	2
217	F	32	critical	adax	A	novel	A	2
218	F	1	filler	votes	non-A	real	RC	2
218	F	2	critical	alive	A	real	RC	2
218	F	3	filler	good	non-A	real	A	2
218	F	4	critical	afraid	A	real	RC	2
218	F	5	filler	lies	non-A	real	RC	2
218	F	6	critical	living	non-A	real	A	2
218	F	7	filler	weak	non-A	real	A	2
218	F	8	critical	adax	A	novel	RC	2
218	F	9	filler	slow	non-A	real	A	2
218	F	10	critical	chammy	non-A	novel	A	2
218	F	11	filler	smokes	non-A	real	RC	2
218	F	12	critical	asleep	A	real	RC	2
218	F	13	filler	cheats	non-A	real	RC	2
218	F	14	critical	afraz	A	novel	RC	2
218	F	15	filler	fast	non-A	real	A	2
218	F	16	critical	afloat	A	real	RC	2
218	F	17	filler	young	non-A	real	A	2
218	F	18	critical	gecky	non-A	novel	A	2
218	F	19	filler	bad	non-A	real	A	2
218	F	20	critical	frightened	non-A	real	A	2
218	F	21	filler	golfs	non-A	real	RC	2
218	F	22	critical	flitzy	non-A	novel	A	2
218	F	23	filler	bites	non-A	real	RC	2
218	F	24	critical	sleepy	non-A	real	A	2
218	F	25	filler	old	non-A	real	A	2
218	F	26	critical	ablim	A	novel	RC	2
218	F	27	filler	snowboards	non-A	real	RC	2
218	F	28	critical	slooky	non-A	novel	A	2
218	F	29	filler	gambles	non-A	real	RC	2
218	F	30	critical	agask	A	novel	RC	2
218	F	31	filler	strong	non-A	real	A	2
218	F	32	critical	floating	non-A	real	A	2
219	M	1	filler	lies	non-A	real	RC	2
219	M	2	critical	adax	A	novel	RC	2
219	M	3	filler	golfs	non-A	real	RC	2
219	M	4	critical	ablim	A	novel	RC	2
219	M	5	filler	votes	non-A	real	RC	2
219	M	6	critical	chammy	non-A	novel	A	2
219	M	7	filler	bad	non-A	real	A	2
219	M	8	critical	living	non-A	real	A	2
219	M	9	filler	smokes	non-A	real	RC	2
219	M	10	critical	gecky	non-A	novel	A	2
219	M	11	filler	good	non-A	real	A	2
219	M	12	critical	alive	A	real	RC	2
219	M	13	filler	old	non-A	real	A	2
219	M	14	critical	flitzy	non-A	novel	A	2
219	M	15	filler	young	non-A	real	A	2
219	M	16	critical	asleep	A	real	RC	2
219	M	17	filler	snowboards	non-A	real	RC	2
219	M	18	critical	floating	non-A	real	A	2
219	M	19	filler	fast	non-A	real	A	2
219	M	20	critical	slooky	non-A	novel	A	2
219	M	21	filler	gambles	non-A	real	RC	2
219	M	22	critical	afloat	A	real	RC	2
219	M	23	filler	slow	non-A	real	A	2
219	M	24	critical	sleepy	non-A	real	A	2
219	M	25	filler	weak	non-A	real	A	2
219	M	26	critical	afraz	A	novel	RC	2
219	M	27	filler	bites	non-A	real	RC	2
219	M	28	critical	afraid	A	real	RC	2
